AppOpened,Time,AppOpened
RealPlayer,1251817083000,AudioFramerDecoder(7976)
AudioFramerDecoder(7976),1251817085000,File-manager
File-manager,1251817145000,Mass-memory
Mass-memory,1251817296000,Messaging
Messaging,1251818570000,akncapserver
akncapserver,1251818571000,Messaging
Messaging,1251818757000,EPFLscope
EPFLscope,1251819272000,Messaging
Messaging,1251819276000,Text-message
Text-message,1251819401000,Messaging
Messaging,1251819585000,Text-message
Text-message,1251819605000,Messaging
Messaging,1251819703000,Text-message
Text-message,1251819793000,Messaging
Messaging,1251819883000,FG-THREAD
FG-THREAD,1251820244000,EPFLscope
EPFLscope,1251820252000,Messaging
Messaging,1251820495000,EPFLscope
EPFLscope,1251820867000,Messaging
Messaging,1251820883000,EPFLscope
EPFLscope,1251821056000,Log
Log,1251821059000,Telephone
Telephone,1251821121000,Messaging
Messaging,1251821136000,Calendar
Calendar,1251821297000,Py_
Py_,1251821372000,Telephone
Telephone,1251821378000,MMFControllerProxyServer
MMFControllerProxyServer,1251822132000,akncapserver
akncapserver,1251822139000,Log
Log,1251822141000,Telephone
Telephone,1251822155000,akncapserver
akncapserver,1251822158000,Messaging
Messaging,1251822166000,Telephone
Telephone,1251823140000,Messaging
Messaging,1251823145000,Mail-for-Exchange
Mail-for-Exchange,1251823156000,Messaging
Messaging,1251823214000,Log
Log,1251824390000,Messaging
Messaging,1251824396000,Text-message
Text-message,1251824439000,Messaging
Messaging,1251824580000,Telephone
Telephone,1251824581000,MMFControllerProxyServer
MMFControllerProxyServer,1251825113000,Messaging
Messaging,1251825539000,akncapserver
akncapserver,1251826290000,Messaging
Messaging,1251826294000,Mail-for-Exchange
Mail-for-Exchange,1251826302000,Messaging
Messaging,1251826311000,Calendar
Calendar,1251829009000,EPFLscope
EPFLscope,1251830954000,Messaging
Messaging,1251830964000,WidgetUI
WidgetUI,1251831028000,WidgetUi
WidgetUi,1251832655000,Telephone
Telephone,1251832658000,akncapserver
akncapserver,1251832697000,Log
Log,1251832902000,Contacts
Contacts,1251832937000,Telephone
Telephone,1251832970000,Contacts
Contacts,1251833751000,Telephone
Telephone,1251833754000,MMFControllerProxyServer
MMFControllerProxyServer,1251833815000,akncapserver
akncapserver,1251834388000,EPFLscope
EPFLscope,1251836059000,Contacts
Contacts,1251836222000,Internet-tel.
Internet-tel.,1251836258000,EPFLscope
EPFLscope,1251836262000,IM
IM,1251836264000,EPFLscope
EPFLscope,1251836268000,IM
IM,1251836278000,EPFLscope
EPFLscope,1251836284000,Contacts
Contacts,1251836379000,EPFLscope
EPFLscope,1251836390000,Contacts
Contacts,1251837697000,Messaging
Messaging,1251837711000,Clock
Clock,1251837724000,Messaging
Messaging,1251837739000,Mail-for-Exchange
Mail-for-Exchange,1251837771000,Messaging
Messaging,1251837778000,EPFLscope
EPFLscope,1251865835000,Clock
Clock,1251871231000,Messaging
Messaging,1251872033000,FG-THREAD
FG-THREAD,1251873034000,Messaging
Messaging,1251873041000,Mail-for-Exchange
Mail-for-Exchange,1251873052000,Messaging
Messaging,1251873556000,Telephone
Telephone,1251873565000,MMFControllerProxyServer
MMFControllerProxyServer,1251874109000,akncapserver
akncapserver,1251874206000,Log
Log,1251874209000,Telephone
Telephone,1251876110000,Web
Web,1251880022000,Telephone
Telephone,1251880034000,MMFControllerProxyServer
MMFControllerProxyServer,1251881224000,akncapserver
akncapserver,1251881231000,Messaging
Messaging,1251881236000,Mail-for-Exchange
Mail-for-Exchange,1251882052000,Messaging
Messaging,1251882057000,Mail-for-Exchange
Mail-for-Exchange,1251882063000,Messaging
Messaging,1251883034000,Telephone
Telephone,1251883039000,MMFControllerProxyServer
MMFControllerProxyServer,1251883190000,akncapserver
akncapserver,1251887114000,Telephone
Telephone,1251887123000,MMFControllerProxyServer
MMFControllerProxyServer,1251887963000,akncapserver
akncapserver,1251887969000,Messaging
Messaging,1251891874000,Telephone
Telephone,1251891876000,MMFControllerProxyServer
MMFControllerProxyServer,1251891878000,Messaging
Messaging,1251894442000,Telephone
Telephone,1251894448000,MMFControllerProxyServer
MMFControllerProxyServer,1251894449000,Messaging
Messaging,1251897946000,Telephone
Telephone,1251897970000,MMFControllerProxyServer
MMFControllerProxyServer,1251897971000,akncapserver
akncapserver,1251899105000,Telephone
Telephone,1251899151000,akncapserver
akncapserver,1251899152000,MMFControllerProxyServer
MMFControllerProxyServer,1251899224000,Telephone
Telephone,1251899264000,akncapserver
akncapserver,1251901959000,Messaging
Messaging,1251901962000,Text-message
Text-message,1251901963000,Messaging
Messaging,1251901965000,akncapserver
akncapserver,1251901967000,Log
Log,1251901974000,Telephone
Telephone,1251905048000,MMFControllerProxyServer
MMFControllerProxyServer,1251905142000,akncapserver
akncapserver,1251906143000,Messaging
Messaging,1251906146000,Mail-for-Exchange
Mail-for-Exchange,1251906151000,Messaging
Messaging,1251906397000,Mail-for-Exchange
Mail-for-Exchange,1251906406000,Messaging
Messaging,1251906411000,Mail-for-Exchange
Mail-for-Exchange,1251906501000,Messaging
Messaging,1251907868000,EPFLscope
EPFLscope,1251907887000,Log
Log,1251907909000,Calendar
Calendar,1251908329000,FG-THREAD
FG-THREAD,1251908482000,Log
Log,1251908484000,Telephone
Telephone,1251908552000,akncapserver
akncapserver,1251910630000,Messaging
Messaging,1251910634000,Mail-for-Exchange
Mail-for-Exchange,1251910665000,Messaging
Messaging,1251910702000,Mail-for-Exchange
Mail-for-Exchange,1251911931000,Messaging
Messaging,1251911938000,Calendar
Calendar,1251917006000,WidgetUI
WidgetUI,1251917026000,WidgetUi
WidgetUi,1251919958000,Messaging
Messaging,1251921000000,Log
Log,1251922951000,Clock
Clock,1251953036000,Messaging
Messaging,1251957722000,Text-message
Text-message,1251958056000,Calendar
Calendar,1251958150000,Messaging
Messaging,1251958156000,Telephone
Telephone,1251958436000,Maps
Maps,1251958453000,Local
Local,1251958459000,Maps
Maps,1251958594000,Telephone
Telephone,1251958597000,Web
Web,1251958602000,Text-message
Text-message,1251958604000,Messaging
Messaging,1251958608000,EPFLscope
EPFLscope,1251960337000,Py_
Py_,1251960666000,Calendar
Calendar,1251960814000,Messaging
Messaging,1251960841000,Mail-for-Exchange
Mail-for-Exchange,1251961314000,Messaging
Messaging,1251962154000,Mail-for-Exchange
Mail-for-Exchange,1251962171000,Messaging
Messaging,1251962173000,Mail-for-Exchange
Mail-for-Exchange,1251962179000,Messaging
Messaging,1251962181000,Mail-for-Exchange
Mail-for-Exchange,1251962241000,akncapserver
akncapserver,1251963001000,Messaging
Messaging,1251963005000,Mail-for-Exchange
Mail-for-Exchange,1251963051000,Messaging
Messaging,1251963336000,Mail-for-Exchange
Mail-for-Exchange,1251963385000,Messaging
Messaging,1251965807000,EPFLscope
EPFLscope,1251965864000,Messaging
Messaging,1251965871000,Mail-for-Exchange
Mail-for-Exchange,1251965883000,Messaging
Messaging,1251966184000,Py_
Py_,1251966694000,Messaging
Messaging,1251966700000,Mail-for-Exchange
Mail-for-Exchange,1251966707000,Messaging
Messaging,1251966713000,EPFLscope
EPFLscope,1251966786000,Py_
Py_,1251972653000,NaviGo
NaviGo,1251972665000,akncapserver
akncapserver,1251972667000,Messaging
Messaging,1251972700000,Mail-for-Exchange
Mail-for-Exchange,1251972703000,Messaging
Messaging,1251973006000,EPFLscope
EPFLscope,1251973051000,FG-THREAD
FG-THREAD,1251973862000,Messaging
Messaging,1251973869000,Mail-for-Exchange
Mail-for-Exchange,1251973891000,Messaging
Messaging,1251975774000,EPFLscope
EPFLscope,1251975954000,Messaging
Messaging,1251975978000,Py_
Py_,1251976604000,Messaging
Messaging,1251978481000,Telephone
Telephone,1251978649000,akncapserver
akncapserver,1251980329000,EPFLscope
EPFLscope,1251980522000,Py_
Py_,1251980773000,EPFLscope
EPFLscope,1251980822000,Py_
Py_,1251986712000,Messaging
Messaging,1251987989000,Telephone
Telephone,1251987998000,MMFControllerProxyServer
MMFControllerProxyServer,1251990284000,akncapserver
akncapserver,1251990609000,Messaging
Messaging,1251990708000,Contacts
Contacts,1251990716000,Telephone
Telephone,1251993868000,Messaging
Messaging,1251993871000,Mail-for-Exchange
Mail-for-Exchange,1251993970000,Messaging
Messaging,1251996486000,Mail-for-Exchange
Mail-for-Exchange,1251996568000,Messaging
Messaging,1251996573000,Contacts
Contacts,1252002006000,EPFLscope
EPFLscope,1252006371000,Py_
Py_,1252006531000,Messaging
Messaging,1252006573000,Mail-for-Exchange
Mail-for-Exchange,1252006663000,Messaging
Messaging,1252006764000,WidgetUI
WidgetUI,1252006822000,WidgetUi
WidgetUi,1252006828000,WidgetUI
WidgetUI,1252007454000,Web
Web,1252007457000,aknnfysrv
aknnfysrv,1252007577000,ICLThread
ICLThread,1252007680000,WidgetUI
WidgetUI,1252007805000,WidgetUi
WidgetUi,1252007820000,EPFLscope
EPFLscope,1252007857000,Friend-View
Friend-View,1252007873000,Web
Web,1252007951000,Friend-View
Friend-View,1252007955000,MMFControllerProxyServer
MMFControllerProxyServer,1252007959000,Contacts
Contacts,1252008087000,Messaging
Messaging,1252008126000,Camera
Camera,1252008132000,MMFControllerProxyServer
MMFControllerProxyServer,1252009081000,Messaging
Messaging,1252009130000,Clock
Clock,1252041038000,Messaging
Messaging,1252041093000,Mail-for-Exchange
Mail-for-Exchange,1252041117000,Messaging
Messaging,1252044418000,Telephone
Telephone,1252044420000,Web
Web,1252044428000,aknnfysrv
aknnfysrv,1252044784000,akncapserver
akncapserver,1252046739000,Calendar
Calendar,1252047092000,Contacts
Contacts,1252047144000,Calendar
Calendar,1252047157000,Contacts
Contacts,1252047174000,Calendar
Calendar,1252047182000,Contacts
Contacts,1252047191000,Calendar
Calendar,1252047200000,EPFLscope
EPFLscope,1252047501000,Py_
Py_,1252047732000,Contacts
Contacts,1252047737000,Telephone
Telephone,1252052827000,Messaging
Messaging,1252052829000,Text-message
Text-message,1252052983000,Messaging
Messaging,1252053983000,Mail-for-Exchange
Mail-for-Exchange,1252056316000,Messaging
Messaging,1252056318000,Log
Log,1252056346000,Telephone
Telephone,1252057492000,Log
Log,1252059323000,Telephone
Telephone,1252059327000,MMFControllerProxyServer
MMFControllerProxyServer,1252059430000,akncapserver
akncapserver,1252059626000,Telephone
Telephone,1252059637000,MMFControllerProxyServer
MMFControllerProxyServer,1252059656000,akncapserver
akncapserver,1252060272000,Messaging
Messaging,1252063720000,akncapserver
akncapserver,1252063722000,Contacts
Contacts,1252063894000,Py_
Py_,1252064306000,Telephone
Telephone,1252064326000,MMFControllerProxyServer
MMFControllerProxyServer,1252064327000,EPFLscope
EPFLscope,1252066615000,FG-THREAD
FG-THREAD,1252069985000,Telephone
Telephone,1252069991000,MMFControllerProxyServer
MMFControllerProxyServer,1252070011000,akncapserver
akncapserver,1252070255000,FG-THREAD
FG-THREAD,1252073794000,akncapserver
akncapserver,1252073801000,Messaging
Messaging,1252079350000,Calendar
Calendar,1252079825000,Messaging
Messaging,1252081491000,Log
Log,1252081496000,Telephone
Telephone,1252081571000,EPFLscope
EPFLscope,1252081731000,Py_
Py_,1252082757000,Log
Log,1252083758000,Contacts
Contacts,1252083764000,Telephone
Telephone,1252084038000,akncapserver
akncapserver,1252089125000,Messaging
Messaging,1252089129000,Mail-for-Exchange
Mail-for-Exchange,1252089157000,Messaging
Messaging,1252095697000,E-mail
E-mail,1252095780000,Messaging
Messaging,1252095843000,Contacts
Contacts,1252095847000,EPFLscope
EPFLscope,1252133075000,Messaging
Messaging,1252142155000,Camera
Camera,1252142170000,Local
Local,1252142180000,Camera
Camera,1252142207000,akncapserver
akncapserver,1252145736000,EPFLscope
EPFLscope,1252145740000,Messaging
Messaging,1252145797000,EPFLscope
EPFLscope,1252145800000,Messaging
Messaging,1252145856000,FG-THREAD
FG-THREAD,1252145866000,EPFLscope
EPFLscope,1252152756000,Camera
Camera,1252152903000,MMFControllerProxyServer
MMFControllerProxyServer,1252152904000,akncapserver
akncapserver,1252162708000,Messaging
Messaging,1252162717000,Mail-for-Exchange
Mail-for-Exchange,1252162903000,Messaging
Messaging,1252165921000,EPFLscope
EPFLscope,1252165927000,Messaging
Messaging,1252166242000,Py_
Py_,1252178456000,Messaging
Messaging,1252178522000,Mail-for-Exchange
Mail-for-Exchange,1252178554000,Messaging
Messaging,1252180255000,Clock
Clock,1252183148000,Web
Web,1252184015000,Messaging
Messaging,1252213048000,Clock
Clock,1252213064000,EPFLscope
EPFLscope,1252213067000,Clock
Clock,1252213068000,EPFLscope
EPFLscope,1252213082000,Messaging
Messaging,1252217641000,Py_
Py_,1252219370000,EPFLscope
EPFLscope,1252219381000,Messaging
Messaging,1252219459000,FG-THREAD
FG-THREAD,1252223852000,Messaging
Messaging,1252223860000,Text-message
Text-message,1252223930000,Messaging
Messaging,1252239170000,EPFLscope
EPFLscope,1252239177000,Messaging
Messaging,1252239515000,Py_
Py_,1252249796000,EPFLscope
EPFLscope,1252250399000,Py_
Py_,1252254088000,Telephone
Telephone,1252254110000,MMFControllerProxyServer
MMFControllerProxyServer,1252255844000,FG-THREAD
FG-THREAD,1252255898000,Contacts
Contacts,1252255935000,Messaging
Messaging,1252255956000,EPFLscope
EPFLscope,1252255959000,Contacts
Contacts,1252255964000,Messaging
Messaging,1252255970000,Contacts
Contacts,1252255979000,EPFLscope
EPFLscope,1252256163000,Py_
Py_,1252256456000,Contacts
Contacts,1252256743000,IM
IM,1252257120000,EPFLscope
EPFLscope,1252257168000,Messaging
Messaging,1252257171000,akncapserver
akncapserver,1252257172000,EPFLscope
EPFLscope,1252257180000,Telephone
Telephone,1252257189000,MMFControllerProxyServer
MMFControllerProxyServer,1252257201000,Text-message
Text-message,1252257238000,akncapserver
akncapserver,1252257248000,EPFLscope
EPFLscope,1252257341000,IM
IM,1252257411000,EPFLscope
EPFLscope,1252257447000,Contacts
Contacts,1252257482000,Messaging
Messaging,1252257492000,Text-message
Text-message,1252257522000,Messaging
Messaging,1252257523000,akncapserver
akncapserver,1252257541000,Messaging
Messaging,1252270196000,Clock
Clock,1252270209000,Maps
Maps,1252270225000,Local
Local,1252270249000,EPFLscope
EPFLscope,1252279869000,Py_
Py_,1252300514000,akncapserver
akncapserver,1252301229000,Messaging
Messaging,1252301258000,Mail-for-Exchange
Mail-for-Exchange,1252301270000,Messaging
Messaging,1252305862000,Log
Log,1252305864000,Telephone
Telephone,1252309665000,EPFLscope
EPFLscope,1252311338000,Py_
Py_,1252315802000,Messaging
Messaging,1252315810000,Mail-for-Exchange
Mail-for-Exchange,1252315834000,Messaging
Messaging,1252316345000,Telephone
Telephone,1252316431000,akncapserver
akncapserver,1252316754000,Messaging
Messaging,1252316758000,Mail-for-Exchange
Mail-for-Exchange,1252316764000,Messaging
Messaging,1252316766000,Mail-for-Exchange
Mail-for-Exchange,1252316775000,Messaging
Messaging,1252316778000,Mail-for-Exchange
Mail-for-Exchange,1252316788000,Messaging
Messaging,1252316796000,Telephone
Telephone,1252316799000,Web
Web,1252317104000,Telephone
Telephone,1252317107000,Web
Web,1252318308000,EPFLscope
EPFLscope,1252318411000,Telephone
Telephone,1252318427000,EPFLscope
EPFLscope,1252318594000,FG-THREAD
FG-THREAD,1252319630000,akncapserver
akncapserver,1252319638000,Settings
Settings,1252320005000,akncapserver
akncapserver,1252320008000,Log
Log,1252320009000,Telephone
Telephone,1252321913000,akncapserver
akncapserver,1252321920000,Log
Log,1252322465000,Messaging
Messaging,1252322471000,EPFLscope
EPFLscope,1252323073000,Messaging
Messaging,1252323076000,Mail-for-Exchange
Mail-for-Exchange,1252323106000,Messaging
Messaging,1252324038000,FG-THREAD
FG-THREAD,1252324133000,Telephone
Telephone,1252324408000,akncapserver
akncapserver,1252325165000,Messaging
Messaging,1252325783000,Telephone
Telephone,1252325785000,Web
Web,1252326666000,akncapserver
akncapserver,1252326668000,Messaging
Messaging,1252326769000,Telephone
Telephone,1252326771000,Web
Web,1252328724000,Telephone
Telephone,1252329864000,akncapserver
akncapserver,1252329869000,Messaging
Messaging,1252331010000,Telephone
Telephone,1252331041000,akncapserver
akncapserver,1252331178000,Messaging
Messaging,1252331201000,Mail-for-Exchange
Mail-for-Exchange,1252331214000,Messaging
Messaging,1252333589000,Mail-for-Exchange
Mail-for-Exchange,1252333596000,Messaging
Messaging,1252333597000,akncapserver
akncapserver,1252334185000,Log
Log,1252334187000,Telephone
Telephone,1252334602000,akncapserver
akncapserver,1252336853000,EPFLscope
EPFLscope,1252338543000,FG-THREAD
FG-THREAD,1252339335000,Messaging
Messaging,1252340160000,EPFLscope
EPFLscope,1252340358000,Py_
Py_,1252340400000,Log
Log,1252340402000,Telephone
Telephone,1252340678000,akncapserver
akncapserver,1252345320000,Contacts
Contacts,1252345352000,IM
IM,1252345358000,Contacts
Contacts,1252345374000,Telephone
Telephone,1252345542000,Contacts
Contacts,1252345553000,IM
IM,1252345562000,Contacts
Contacts,1252346504000,EPFLscope
EPFLscope,1252346519000,Log
Log,1252392313000,akncapserver
akncapserver,1252392317000,Messaging
Messaging,1252392322000,EPFLscope
EPFLscope,1252392520000,Py_
Py_,1252395046000,Messaging
Messaging,1252395050000,Mail-for-Exchange
Mail-for-Exchange,1252395067000,Messaging
Messaging,1252395069000,Mail-for-Exchange
Mail-for-Exchange,1252395082000,Messaging
Messaging,1252396664000,Telephone
Telephone,1252396850000,akncapserver
akncapserver,1252396855000,Messaging
Messaging,1252396863000,Mail-for-Exchange
Mail-for-Exchange,1252396885000,Messaging
Messaging,1252396893000,Mail-for-Exchange
Mail-for-Exchange,1252396929000,Messaging
Messaging,1252396932000,Mail-for-Exchange
Mail-for-Exchange,1252396951000,Messaging
Messaging,1252397756000,Mail-for-Exchange
Mail-for-Exchange,1252397764000,Messaging
Messaging,1252397770000,Mail-for-Exchange
Mail-for-Exchange,1252398013000,Messaging
Messaging,1252401800000,Mail-for-Exchange
Mail-for-Exchange,1252401846000,Messaging
Messaging,1252401998000,Sports-Tracker
Sports-Tracker,1252402307000,SecureWidgetUI
SecureWidgetUI,1252402463000,Messaging
Messaging,1252402467000,Mail-for-Exchange
Mail-for-Exchange,1252402474000,Messaging
Messaging,1252402491000,Contacts
Contacts,1252402509000,Comp.-directory
Comp.-directory,1252402526000,Telephone
Telephone,1252403398000,Messaging
Messaging,1252403402000,Mail-for-Exchange
Mail-for-Exchange,1252403470000,Messaging
Messaging,1252405842000,Telephone
Telephone,1252405852000,MMFControllerProxyServer
MMFControllerProxyServer,1252405894000,akncapserver
akncapserver,1252407480000,Telephone
Telephone,1252407488000,MMFControllerProxyServer
MMFControllerProxyServer,1252407654000,akncapserver
akncapserver,1252407673000,Telephone
Telephone,1252407681000,MMFControllerProxyServer
MMFControllerProxyServer,1252407745000,akncapserver
akncapserver,1252407752000,Messaging
Messaging,1252409606000,Telephone
Telephone,1252409647000,Messaging
Messaging,1252410746000,Comp.-directory
Comp.-directory,1252410751000,EPFLscope
EPFLscope,1252411449000,Messaging
Messaging,1252411460000,Mail-for-Exchange
Mail-for-Exchange,1252411466000,Messaging
Messaging,1252411742000,FG-THREAD
FG-THREAD,1252413238000,akncapserver
akncapserver,1252414319000,Messaging
Messaging,1252415126000,Telephone
Telephone,1252415151000,aknnfysrv
aknnfysrv,1252415902000,akncapserver
akncapserver,1252415956000,Py_
Py_,1252416173000,EPFLscope
EPFLscope,1252416530000,File-manager
File-manager,1252418921000,akncapserver
akncapserver,1252420556000,Messaging
Messaging,1252420561000,Mail-for-Exchange
Mail-for-Exchange,1252420564000,Messaging
Messaging,1252425095000,Carousel
Carousel,1252425102000,Messaging
Messaging,1252425131000,Barcode-reader
Barcode-reader,1252426692000,Contacts
Contacts,1252426813000,File-manager
File-manager,1252426876000,Notes
Notes,1252426889000,File-manager
File-manager,1252426894000,Notes
Notes,1252426907000,File-manager
File-manager,1252426914000,Notes
Notes,1252426929000,File-manager
File-manager,1252426936000,Notes
Notes,1252426949000,File-manager
File-manager,1252426960000,GFLM-work-thread
GFLM-work-thread,1252426963000,File-manager
File-manager,1252426984000,Notes
Notes,1252427000000,File-manager
File-manager,1252427001000,GFLM-work-thread
GFLM-work-thread,1252427002000,File-manager
File-manager,1252427018000,Maps
Maps,1252427049000,File-manager
File-manager,1252427062000,Notes
Notes,1252427068000,File-manager
File-manager,1252427858000,Log
Log,1252427861000,Telephone
Telephone,1252428596000,Messaging
Messaging,1252430121000,EPFLscope
EPFLscope,1252430417000,Py_
Py_,1252431010000,EPFLscope
EPFLscope,1252431013000,Messaging
Messaging,1252431028000,Mail-for-Exchange
Mail-for-Exchange,1252431096000,akncapserver
akncapserver,1252431569000,Py_
Py_,1252441035000,EPFLscope
EPFLscope,1252443876000,Messaging
Messaging,1252443905000,Log
Log,1252443914000,WidgetUI
WidgetUI,1252443975000,WidgetUi
WidgetUi,1252443980000,Contacts
Contacts,1252444064000,SecureWidgetUI
SecureWidgetUI,1252444273000,Local
Local,1252444416000,YouTube
YouTube,1252444443000,SymbianThreadImpl_1
SymbianThreadImpl_1,1252444448000,EPFLscope
EPFLscope,1252475284000,Messaging
Messaging,1252475364000,Mail-for-Exchange
Mail-for-Exchange,1252475397000,Messaging
Messaging,1252475402000,Mail-for-Exchange
Mail-for-Exchange,1252475424000,Messaging
Messaging,1252475427000,Mail-for-Exchange
Mail-for-Exchange,1252475441000,Messaging
Messaging,1252475442000,Mail-for-Exchange
Mail-for-Exchange,1252475473000,Messaging
Messaging,1252475478000,Mail-for-Exchange
Mail-for-Exchange,1252475499000,Messaging
Messaging,1252475508000,Mail-for-Exchange
Mail-for-Exchange,1252475619000,Messaging
Messaging,1252475626000,Mail-for-Exchange
Mail-for-Exchange,1252475790000,Messaging
Messaging,1252478373000,Py_
Py_,1252478742000,Messaging
Messaging,1252478754000,Mail-for-Exchange
Mail-for-Exchange,1252478917000,Messaging
Messaging,1252481785000,Calendar
Calendar,1252482017000,EPFLscope
EPFLscope,1252482374000,Messaging
Messaging,1252482377000,Mail-for-Exchange
Mail-for-Exchange,1252482455000,Messaging
Messaging,1252482469000,Mail-for-Exchange
Mail-for-Exchange,1252482484000,Messaging
Messaging,1252489420000,akncapserver
akncapserver,1252489423000,Messaging
Messaging,1252489428000,Telephone
Telephone,1252489430000,Web
Web,1252493427000,Telephone
Telephone,1252493430000,MMFControllerProxyServer
MMFControllerProxyServer,1252493852000,akncapserver
akncapserver,1252495362000,Py_
Py_,1252495641000,Messaging
Messaging,1252495647000,Mail-for-Exchange
Mail-for-Exchange,1252495679000,Messaging
Messaging,1252495871000,Mail-for-Exchange
Mail-for-Exchange,1252496701000,akncapserver
akncapserver,1252496742000,Messaging
Messaging,1252496755000,EPFLscope
EPFLscope,1252496818000,akncapserver
akncapserver,1252496820000,Messaging
Messaging,1252496957000,EPFLscope
EPFLscope,1252497487000,Py_
Py_,1252497665000,Messaging
Messaging,1252497669000,Mail-for-Exchange
Mail-for-Exchange,1252497677000,Messaging
Messaging,1252500305000,akncapserver
akncapserver,1252501905000,WLAN-wizard
WLAN-wizard,1252501951000,Settings
Settings,1252501974000,Access-Point-Settings-UI-Delete-Operation
Access-Point-Settings-UI-Delete-Operation,1252501990000,Settings
Settings,1252502037000,Web
Web,1252502349000,EPFLscope
EPFLscope,1252503476000,akncapserver
akncapserver,1252504436000,EPFLscope
EPFLscope,1252505039000,akncapserver
akncapserver,1252505090000,Messaging
Messaging,1252505112000,EPFLscope
EPFLscope,1252507246000,Telephone
Telephone,1252507520000,Settings
Settings,1252507527000,Telephone
Telephone,1252507528000,akncapserver
akncapserver,1252507530000,Telephone
Telephone,1252507531000,akncapserver
akncapserver,1252507534000,Telephone
Telephone,1252507650000,Bluetooth
Bluetooth,1252509273000,Messaging
Messaging,1252509274000,Telephone
Telephone,1252510259000,Camera
Camera,1252511846000,Telephone
Telephone,1252511849000,Web
Web,1252513316000,Telephone
Telephone,1252513321000,MMFControllerProxyServer
MMFControllerProxyServer,1252513322000,Web
Web,1252513343000,akncapserver
akncapserver,1252513617000,Messaging
Messaging,1252513621000,Log
Log,1252513626000,Telephone
Telephone,1252513885000,EPFLscope
EPFLscope,1252516462000,Messaging
Messaging,1252521635000,akncapserver
akncapserver,1252522520000,Messaging
Messaging,1252522532000,EPFLscope
EPFLscope,1252522557000,WidgetUI
WidgetUI,1252522581000,WidgetUi
WidgetUi,1252522588000,WidgetUI
WidgetUI,1252522779000,WidgetUi
WidgetUi,1252522788000,Web
Web,1252523823000,EPFLscope
EPFLscope,1252523875000,Telephone
Telephone,1252526021000,Messaging
Messaging,1252526058000,Mail-for-Exchange
Mail-for-Exchange,1252526065000,Messaging
Messaging,1252526080000,Mail-for-Exchange
Mail-for-Exchange,1252526082000,Messaging
Messaging,1252526092000,Mail-for-Exchange
Mail-for-Exchange,1252526170000,Messaging
Messaging,1252526176000,Mail-for-Exchange
Mail-for-Exchange,1252526393000,Messaging
Messaging,1252526401000,Mail-for-Exchange
Mail-for-Exchange,1252526415000,Messaging
Messaging,1252529847000,Clock
Clock,1252530565000,Messaging
Messaging,1252530571000,Mail-for-Exchange
Mail-for-Exchange,1252530585000,Messaging
Messaging,1252530600000,Mail-for-Exchange
Mail-for-Exchange,1252530603000,Messaging
Messaging,1252530617000,Mail-for-Exchange
Mail-for-Exchange,1252530642000,Messaging
Messaging,1252530670000,WidgetUI
WidgetUI,1252531063000,WidgetUi
WidgetUi,1252531077000,WidgetUI
WidgetUI,1252531107000,WidgetUi
WidgetUi,1252531122000,Log
Log,1252531130000,Messaging
Messaging,1252531257000,SecureWidgetUI
SecureWidgetUI,1252531273000,securewidgetui
securewidgetui,1252531280000,SecureWidgetUI
SecureWidgetUI,1252531912000,akncapserver
akncapserver,1252531955000,EPFLscope
EPFLscope,1252532069000,Web
